tahun;nama_kabupaten;nama_kecamatan;jenis_kelamin;jumlah
2017;KAB.ADM.KEP.SERIBU;KEP. SERIBU UTR;Laki-Laki;20
2017;KAB.ADM.KEP.SERIBU;KEP. SERIBU SLT;Laki-Laki;21
2017;JAKARTA PUSAT;GAMBIR;Laki-Laki;288
2017;JAKARTA PUSAT;SAWAH BESAR;Laki-Laki;339
2017;JAKARTA PUSAT;KEMAYORAN;Laki-Laki;767
2017;JAKARTA PUSAT;SENEN;Laki-Laki;368
2017;JAKARTA PUSAT;CEMPAKA PUTIH;Laki-Laki;139
2017;JAKARTA PUSAT;MENTENG;Laki-Laki;244
2017;JAKARTA PUSAT;TANAH ABANG;Laki-Laki;286
2017;JAKARTA PUSAT;JOHAR BARU;Laki-Laki;271
2017;JAKARTA UTARA;PENJARINGAN;Laki-Laki;748
2017;JAKARTA UTARA;TANJUNG PRIOK;Laki-Laki;889
2017;JAKARTA UTARA;KOJA;Laki-Laki;947
2017;JAKARTA UTARA;CILINCING;Laki-Laki;1036
2017;JAKARTA UTARA;PADEMANGAN;Laki-Laki;421
2017;JAKARTA UTARA;KELAPA GADING;Laki-Laki;327
2017;JAKARTA BARAT;CENGKARENG;Laki-Laki;1209
2017;JAKARTA BARAT;GROGOL PETAMBURAN;Laki-Laki;643
2017;JAKARTA BARAT;TAMAN SARI;Laki-Laki;451
2017;JAKARTA BARAT;TAMBORA;Laki-Laki;795
2017;JAKARTA BARAT;KEBON JERUK;Laki-Laki;775
2017;JAKARTA BARAT;KALI DERES;Laki-Laki;926
2017;JAKARTA BARAT;PALMERAH;Laki-Laki;731
2017;JAKARTA BARAT;KEMBANGAN;Laki-Laki;624
2017;JAKARTA SELATAN;TEBET;Laki-Laki;819
2017;JAKARTA SELATAN;SETIA BUDI;Laki-Laki;385
2017;JAKARTA SELATAN;MAMPANG PRAPATAN;Laki-Laki;369
2017;JAKARTA SELATAN;PASAR MINGGU;Laki-Laki;841
2017;JAKARTA SELATAN;KEBAYORAN LAMA;Laki-Laki;764
2017;JAKARTA SELATAN;CILANDAK;Laki-Laki;411
2017;JAKARTA SELATAN;KEBAYORAN BARU;Laki-Laki;383
2017;JAKARTA SELATAN;PANCORAN;Laki-Laki;422
2017;JAKARTA SELATAN;JAGAKARSA;Laki-Laki;817
2017;JAKARTA SELATAN;PESANGGRAHAN;Laki-Laki;623
2017;JAKARTA TIMUR;MATRAMAN;Laki-Laki;647
2017;JAKARTA TIMUR;PULO GADUNG;Laki-Laki;845
2017;JAKARTA TIMUR;JATINEGARA;Laki-Laki;1021
2017;JAKARTA TIMUR;KRAMAT JATI;Laki-Laki;843
2017;JAKARTA TIMUR;PASAR REBO;Laki-Laki;499
2017;JAKARTA TIMUR;CAKUNG;Laki-Laki;1127
2017;JAKARTA TIMUR;DUREN SAWIT;Laki-Laki;1070
2017;JAKARTA TIMUR;MAKASAR;Laki-Laki;435
2017;JAKARTA TIMUR;CIRACAS;Laki-Laki;782
2017;JAKARTA TIMUR;CIPAYUNG;Laki-Laki;648
2017;KAB.ADM.KEP.SERIBU;KEP. SERIBU UTR;Perempuan;13
2017;KAB.ADM.KEP.SERIBU;KEP. SERIBU SLT;Perempuan;19
2017;JAKARTA PUSAT;GAMBIR;Perempuan;274
2017;JAKARTA PUSAT;SAWAH BESAR;Perempuan;243
2017;JAKARTA PUSAT;KEMAYORAN;Perempuan;621
2017;JAKARTA PUSAT;SENEN;Perempuan;318
2017;JAKARTA PUSAT;CEMPAKA PUTIH;Perempuan;111
2017;JAKARTA PUSAT;MENTENG;Perempuan;265
2017;JAKARTA PUSAT;TANAH ABANG;Perempuan;215
2017;JAKARTA PUSAT;JOHAR BARU;Perempuan;237
2017;JAKARTA UTARA;PENJARINGAN;Perempuan;589
2017;JAKARTA UTARA;TANJUNG PRIOK;Perempuan;659
2017;JAKARTA UTARA;KOJA;Perempuan;821
2017;JAKARTA UTARA;CILINCING;Perempuan;894
2017;JAKARTA UTARA;PADEMANGAN;Perempuan;352
2017;JAKARTA UTARA;KELAPA GADING;Perempuan;216
2017;JAKARTA BARAT;CENGKARENG;Perempuan;842
2017;JAKARTA BARAT;GROGOL PETAMBURAN;Perempuan;468
2017;JAKARTA BARAT;TAMAN SARI;Perempuan;362
2017;JAKARTA BARAT;TAMBORA;Perempuan;645
2017;JAKARTA BARAT;KEBON JERUK;Perempuan;603
2017;JAKARTA BARAT;KALI DERES;Perempuan;635
2017;JAKARTA BARAT;PALMERAH;Perempuan;578
2017;JAKARTA BARAT;KEMBANGAN;Perempuan;420
2017;JAKARTA SELATAN;TEBET;Perempuan;651
2017;JAKARTA SELATAN;SETIA BUDI;Perempuan;315
2017;JAKARTA SELATAN;MAMPANG PRAPATAN;Perempuan;260
2017;JAKARTA SELATAN;PASAR MINGGU;Perempuan;674
2017;JAKARTA SELATAN;KEBAYORAN LAMA;Perempuan;565
2017;JAKARTA SELATAN;CILANDAK;Perempuan;279
2017;JAKARTA SELATAN;KEBAYORAN BARU;Perempuan;341
2017;JAKARTA SELATAN;PANCORAN;Perempuan;319
2017;JAKARTA SELATAN;JAGAKARSA;Perempuan;640
2017;JAKARTA SELATAN;PESANGGRAHAN;Perempuan;378
2017;JAKARTA TIMUR;MATRAMAN;Perempuan;545
2017;JAKARTA TIMUR;PULO GADUNG;Perempuan;680
2017;JAKARTA TIMUR;JATINEGARA;Perempuan;783
2017;JAKARTA TIMUR;KRAMAT JATI;Perempuan;666
2017;JAKARTA TIMUR;PASAR REBO;Perempuan;340
2017;JAKARTA TIMUR;CAKUNG;Perempuan;723
2017;JAKARTA TIMUR;DUREN SAWIT;Perempuan;771
2017;JAKARTA TIMUR;MAKASAR;Perempuan;303
2017;JAKARTA TIMUR;CIRACAS;Perempuan;548
2017;JAKARTA TIMUR;CIPAYUNG;Perempuan;442
